Artist,Song,Popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Miley Cyrus,Flowers,87,0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,1,0.0668,117.999,0.646
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),97,0.417,0.715,0.62,0,1,0.0822,-6.005,0,0.0484,97.95,0.172
SZA,Kill Bill,93,0.0521,0.644,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,0.418
Central Cee,LET GO,94,0.859,0.735,0.449,0,2,0.213,-9.933,0,0.383,146.016,0.514
Tiësto,10:35,90,0.0683,0.696,0.793,3.78e-06,8,0.18,-5.733,1,0.097,120.003,0.698
Preston Pablo,Flowers Need Rain,73,0.029,0.655,0.539,0,1,0.17,-7.596,0,0.08,119.914,0.221
Rema,Calm Down (with Selena Gomez),95,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,0.802
TALK,Run Away to Mars,77,0.526,0.554,0.38,0,9,0.213,-10.666,1,0.0314,118.925,0.284
Sam Smith,Gimme (feat. Koffee & Jessie Reyez),74,0.127,0.76,0.457,0.000703,10,0.13,-8.075,0,0.0533,104.972,0.745
Marshmello,Numb,85,0.121,0.912,0.774,0.0127,0,0.101,-4.673,0,0.0455,119.966,0.632
Dean Lewis,How Do I Say Goodbye,87,0.214,0.4,0.641,0,8,0.0656,-6.303,1,0.0674,81.552,0.393
Imagine Dragons,Bones,86,0.0201,0.772,0.75,0,5,0.074,-3.67,0,0.0455,114.061,0.587
Imanbek,Belly Dancer,87,0.0582,0.845,0.797,5.57e-06,1,0.167,-4.984,1,0.139,121.985,0.422
David Guetta,I'm Good (Blue),98,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,0.304
RAYE,Escapism.,93,0.138,0.538,0.742,4.67e-05,2,0.0934,-5.355,1,0.114,96.107,0.25
Banx & Ranx,Headphones,65,0.0159,0.887,0.531,0,7,0.634,-5.389,1,0.121,117.056,0.772
Sam Smith,Unholy (feat. Kim Petras),100,0.013,0.714,0.472,4.51e-06,2,0.266,-7.375,1,0.0864,131.121,0.238
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),90,0.148,0.637,0.715,0,2,0.0892,-4.971,0,0.0455,141.872,0.308
Black Eyed Peas,DON'T YOU WORRY,82,0.203,0.816,0.875,0,11,0.209,-4.821,1,0.0311,131.958,0.491
