Artist,Song,SongID,Popularity,Lyrics,href,lyricurl
Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,87,"We were good, we were goldKinda dream that can't be soldWe were right 'til we weren'tBuilt a home and watched it burnMm, I didn't wanna leave you, I didn't wanna lieStarted to cry, but then remembered II can buy myself flowersWrite my name in the sandTalk to myself for hoursSay things you don't understandI can take myself dancingAnd I can hold my own handYeah, I can love me better than you canCan love me better, I can love me better, babyCan love me better, I can love me better, babyPaint my nails cherry-redMatch the roses that you leftNo remorse, no regretI forgive every word you saidOoh, I didn't wanna leave you, baby, I didn't wanna fightStarted to cry, but then remembered II can buy myself flowersWrite my name in the sandTalk to myself for hours, yeahSay things you don't understandI can take myself dancing, yeahI can hold my own handYeah, I can love me better than you canCan love me better, I can love me better, babyCan love me better, I can love me better, babyCan love me better, I can love me better, babyCan love me better, I (Ooh, I)I didn't wanna leave you, I didn't wanna fightStarted to cry, but then remembered II can buy myself flowers (Uh-huh)Write my name in the sandTalk to myself for hours (Yeah)Say things you don't understand (Better than you)I can take myself dancing, yeahI can hold my own handYeah, I can love me better thanYeah, I can love me better than you canCan love me better, I can love me better, baby (Uh)Can love me better, I can love me better, baby (Than you can)Can love me better, I can love me better, babyCan love me better, I",https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://genius.com/Miley-cyrus-flowers-lyrics
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,97,"Ooh, ooh-oohOoh-ooh-ooh, ooh, ooh-ooh (Just can't believe this, man)(Metro Boomin want some more, nigga)[Verse 1: The Weeknd]Somebody said they saw youThe person you were kissing wasn't meAnd I would never ask youI just kept it to myselfI don't wanna knowIf you're playin' me, keep it on the low'Cause my heart can't take it anymoreAnd if you're creepin', please, don't let it showOh, baby, I don't wanna knowOh-oh, oh-oh, ooh-woahOh-oh, oh-oh, oh-ohI don't wanna knowIf you're playin' me, keep it on the low'Cause my heart can't take it anymoreAnd if you're creepin', please, don't let it showOh, baby, I don't wanna knowDid he touch you better than me? (Touch you better than me)Did he watch you fall asleep? (Watch you fall asleep)Did you show him all those things, that you used to do to me?If you're better off that way (Better off that way)There ain't more that I can say (More that I can say)Just go on and do your thing and don't come back to meOoh, ooh-oohOoh-ooh-ooh, ooh-ooh, ooh-oohHad me crushin', I was cuffin' like the precinctGot you riding 'round in all type of Benzes and RoversGirl, you used to ride in the rinky dinkI'm the one put you in EliantteSide bitch in Frisco, I call her my Bay-baeIf you playin' me that mean my home ain't home (On God)I don't wanna knowIf you're playin' me, keep it on the low'Cause my heart can't take it anymoreAnd if you're creepin', please, don't let it showOh, baby, I don't wanna knowIf you're playin' me, keep it on the low'Cause my heart can't take it anymoreAnd if you're creepin', please, don't let it showOh, baby, I don't wanna know",https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://genius.com/Metro-boomin-the-weeknd-and-21-savage-creepin-lyrics
SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,93,"I'm still a fan even though I was saltyHate to see you with some other broad, know you happyHate to see you happy if I'm not the one drivin'I'm so mature, I'm so matureI'm so mature, I got me a therapist to tell me there's other menI might kill my ex, not the best ideaHis new girlfriend's next, how'd I get here?I might kill my ex, I still love him, thoughRather be in jail than aloneYou was at the farmer's market with your perfect peachI'm so mature, I'm so matureI'm so mature, I got me a therapist to tell me there's other menI might kill my ex, not the best ideaHis new girlfriend's next, how'd I get here?I might kill my ex, I still love him, thoughRather be in jail than aloneI did it all for love (Love)I did it all on no drugs (Drugs)I did all of this soberI did it all for us, ohI did it all for love (Love)I did all of this on no drugs (Drugs)I did all of this soberDon't you know I did it all for us? (I'm gon' kill your ass tonight)Oh, I just killed my ex, not the best idea (Idea)Killed his girlfriend next, how'd I get here?I just killed my ex, I still love him, though (I do)Rather be in hell than alone",https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://genius.com/Sza-kill-bill-lyrics
Central Cee,LET GO,3zkyus0njMCL6phZmNNEeN,94,"Well, you only need the light when it's burning lowOnly miss the sun when it starts to snow (Nastylgia)Only know you love her when you let her goAlrightOnly know you've been high when you're feeling lowOnly hate the roads when you're missing homeOnly know you love her when you let her goYou said that pussy mine, so why'd you let it go?Haha, you're such a hoI loved you until you try to get in my headAnd that's why I lost respectYou're doin' the most to get my attention, baby, I'm not impressed, uhI changed my bedsheets, but I still smell your fleshThis girl make me question loveThis girl make me feel like less of a man 'cause I'm feelin' depressed and stuffThe last time that we fucked was fucked, the way you got up, got dressed and cutBaby, you don't know what you're missin'Our chemistry felt like quantum physics, physicsFeelin' your energy, feelin' your spiritI need somethin' a lot more fulfillin', uhMove out of London town then move to a rural villageWell, you only need the light when it's burning lowOnly miss the sun when it starts to snowOnly know you love her when you let her goAlrightOnly know you've been high when you're feeling lowOnly hate the roads when you're missing homeOnly know you love her when you let her goYou said that pussy mine, so why'd you let it go?Haha, you're such a hoI called four times on a private caller, I feel like a creep, uhI know there's plenty of fish in the sea, but I fucked those girls, got you in my mindTurn 'em around and I put them in doggy, I don't even fuck them in missionaryI don't even take my socks offAnd I don't even know why I did it, as soon as I'm finished, I'm gettin' them dropped offAnd what makes it worse, I know that she's tellin' her friends that I chopped herI don't know what you're doin' when we're not together, it's drivin' me mad 'cause I can't even stop yaFuck your annual wage, I can make that monthly, huh, alrightWell, you only need the light when it's burning lowOnly miss the sun when it starts to snowOnly know you love her when you let her goAlrightOnly know you've been high when you're feeling lowOnly hate the roads when you're missing homeOnly know you love her when you let her goYou said that pussy mine, so why'd you let it go?Haha, you're such a ho",https://api.spotify.com/v1/tracks/3zkyus0njMCL6phZmNNEeN,https://genius.com/Central-cee-let-go-lyrics
Tiësto,10:35,6BePGk3eCan4FqaW2X8Qy3,90,,https://api.spotify.com/v1/tracks/6BePGk3eCan4FqaW2X8Qy3,https://genius.com/Tiesto-and-tate-mcrae-10-35-mixed-lyrics
Preston Pablo,Flowers Need Rain,079mntueS2KWjxVqOHjG70,73,,https://api.spotify.com/v1/tracks/079mntueS2KWjxVqOHjG70,https://genius.com/Preston-pablo-flowers-need-rain-acoustic-lyrics
Rema,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,95,,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://genius.com/Rema-calm-down-lyrics
TALK,Run Away to Mars,6G1Mz5yMgn0ydOlIvTrZ65,77,,https://api.spotify.com/v1/tracks/6G1Mz5yMgn0ydOlIvTrZ65,https://genius.com/Talk-can-run-away-to-mars-lyrics
Sam Smith,Gimme (feat. Koffee & Jessie Reyez),2GGN92tO0UbNAYrbMbQ4bf,74,,https://api.spotify.com/v1/tracks/2GGN92tO0UbNAYrbMbQ4bf,https://genius.com/Sam-smith-koffee-and-jessie-reyez-gimme-lyrics
Marshmello,Numb,10xV5l9nhLvFpR8mqzs0bL,85,,https://api.spotify.com/v1/tracks/10xV5l9nhLvFpR8mqzs0bL,https://genius.com/Lfl-music-numb-lfl-remix-unreleased-lyrics
